boundary,tau_early,tau_late,RMST,SE,delta_RMST_vs_independence,delta_CI_low,delta_CI_high
20,0.0,0.0,42.3048,0.30078177026985087,0.0,0.0,0.0
20,0.0,0.59,58.3302,0.4572539445712472,16.0254,15.144547682866426,16.90625231713358
20,0.59,0.0,47.9502,0.36600362801910125,5.6454,4.839064430206523,6.4517355697934775
20,0.59,0.59,60.1144,0.5176392688064944,17.8096,16.609741306210836,19.009458693789163
40,0.0,0.0,42.4798,0.30078047172387057,0.0,0.0,0.0
40,0.0,0.59,48.807,0.4046863284136011,6.3272,5.8493717984403055,6.805028201559695
40,0.59,0.0,52.6526,0.4143943136403243,10.1728,9.164469926599867,11.181130073400134
40,0.59,0.59,59.4312,0.5124542273989314,16.9514,15.757972952006421,18.14482704799358
80,0.0,0.0,42.3112,0.29910941844221517,0.0,0.0,0.0
80,0.0,0.59,42.4588,0.3044585349631414,0.1476,0.08471824197769919,0.21048175802230085
80,0.59,0.0,58.6274,0.4920337115306801,16.3162,15.113430674958181,17.518969325041816
80,0.59,0.59,60.0368,0.5160349092430777,17.7256,16.481141239710123,18.970058760289877
