tau_early,tau_late,RMST,SE,CI_low,CI_high,R_horizon,delta_RMST_vs_independence,delta_CI_low,delta_CI_high,boundary
0.0,0.0,42.4798,0.30078047172387057,41.89027027542121,43.069329724578786,0.0,0.0,0.0,0.0,40
0.0,0.2,44.7676,0.3458550002302075,44.0897241995488,45.445475800451206,0.0,2.2878,1.8775795609731636,2.698020439026836,40
0.0,0.41,47.0082,0.3799211688902241,46.26355450897516,47.75284549102484,0.0006,4.5284,4.072634237014272,4.984165762985729,40
0.0,0.59,48.807,0.4046863284136011,48.01381479630935,49.60018520369066,0.0012,6.3272,5.8493717984403055,6.805028201559695,40
0.2,0.0,45.7602,0.37226465771958184,45.03056127086962,46.489838729130376,0.0,3.2804,2.3508831549119464,4.209916845088054,40
0.2,0.2,47.8404,0.4092571854674898,47.03825591648372,48.642544083516285,0.0002,5.3606,4.349981108398434,6.371218891601566,40
0.2,0.41,50.2974,0.4441124607839378,49.42693957686348,51.167860423136524,0.0002,7.8176,6.749298440245212,8.885901559754787,40
0.2,0.59,52.2286,0.4680855148558259,51.31115239088258,53.14604760911742,0.0002,9.7488,8.642410175929758,10.85518982407024,40
0.41,0.0,49.4088,0.40118599994679605,48.62247544010428,50.19512455989572,0.0,6.929,5.930905770025063,7.927094229974937,40
0.41,0.2,51.7944,0.44268211983300604,50.92674304512731,52.662056954872696,0.0008,9.3146,8.228459208937759,10.400740791062242,40
0.41,0.41,54.1098,0.4750698970398089,53.17866300180197,55.04093699819803,0.0008,11.63,10.48964268842454,12.770357311575461,40
0.41,0.59,56.257,0.5002865654097718,55.27643833179685,57.23756166820315,0.0018,13.7772,12.594678878873399,14.959721121126602,40
0.59,0.0,52.6526,0.4143943136403243,51.84038714526496,53.46481285473504,0.0,10.1728,9.164469926599867,11.181130073400134,40
0.59,0.2,54.8338,0.45512981020894266,53.94174557199047,55.72585442800953,0.0008,12.354,11.254283597345145,13.453716402654853,40
0.59,0.41,57.2294,0.48811798467316514,56.272688750040594,58.1861112499594,0.0012,14.7496,13.59589405877718,15.903305941222818,40
0.59,0.59,59.4312,0.5124542273989314,58.42678971429809,60.435610285701905,0.0018,16.9514,15.757972952006421,18.14482704799358,40
