copula,K,kappa,RMST,SE,CI_low,CI_high
clayton,2,0.08695652173913043,105.8112,0.38949836033870705,105.04778321373614,106.57461678626386
gaussian,2,0.08695652173913043,107.5776,0.32966439202660947,106.93145779162785,108.22374220837216
gumbel,2,0.08695652173913043,110.9936,0.2485888796672507,110.50636579585219,111.48083420414781
independence,2,0.08695652173913043,117.4528,0.11254122594635044,117.23221919714516,117.67338080285484
student_t,2,0.08695652173913043,107.0462,0.34622083542932114,106.36760716255853,107.72479283744147
clayton,3,0.13043478260869565,102.4344,0.42415487831706,101.60305643849856,103.26574356150144
gaussian,3,0.13043478260869565,104.8032,0.3647961474547663,104.08819955098866,105.51820044901135
gumbel,3,0.13043478260869565,107.4302,0.2961224126753288,106.84980007115635,108.01059992884365
independence,3,0.13043478260869565,115.2822,0.15444352751940926,114.97949068606196,115.58490931393804
student_t,3,0.13043478260869565,104.3234,0.3799050250439059,103.57878615091396,105.06801384908606
clayton,4,0.17391304347826086,94.2002,0.462110737008622,93.29446295546309,95.1059370445369
gaussian,4,0.17391304347826086,96.0964,0.40920326351359176,95.29436160351337,96.89843839648664
gumbel,4,0.17391304347826086,97.738,0.35419565512922724,97.04377651594672,98.43222348405328
independence,4,0.17391304347826086,109.827,0.20457317575099468,109.42603657552804,110.22796342447195
student_t,4,0.17391304347826086,95.841,0.42184501234800503,95.0141837757979,96.66781622420208
clayton,5,0.21739130434782608,90.964,0.46993113096875233,90.04293498330125,91.88506501669875
gaussian,5,0.21739130434782608,92.8936,0.4197275426392817,92.07093401642702,93.716265983573
gumbel,5,0.21739130434782608,93.8544,0.37554819586503607,93.11832553610452,94.59047446389548
independence,5,0.21739130434782608,103.7238,0.24691183811871115,103.23985279728733,104.20774720271267
student_t,5,0.21739130434782608,92.6174,0.43295876721325477,91.76880081626203,93.46599918373798
clayton,6,0.2608695652173913,88.5206,0.4805547020811871,87.57871278392088,89.46248721607913
gaussian,6,0.2608695652173913,90.4958,0.4304414622715712,89.65213473394772,91.33946526605229
gumbel,6,0.2608695652173913,91.175,0.39402741848925216,90.40270625976106,91.94729374023893
independence,6,0.2608695652173913,99.6316,0.2731894997772749,99.09614858043655,100.16705141956346
student_t,6,0.2608695652173913,90.159,0.445881358476857,89.28507253738536,91.03292746261465
clayton,7,0.30434782608695654,83.4612,0.47792495369490057,82.524467090758,84.39793290924202
gaussian,7,0.30434782608695654,84.608,0.433392239162855,83.75855121124081,85.4574487887592
gumbel,7,0.30434782608695654,85.2174,0.4001465367814392,84.43311278790837,86.00168721209162
independence,7,0.30434782608695654,91.674,0.2746481223642784,91.13568968016602,92.21231031983399
student_t,7,0.30434782608695654,84.3394,0.44789963646431885,83.46151671252993,85.21728328747007
clayton,8,0.34782608695652173,80.9866,0.4827282148309531,80.04045269893133,81.93274730106866
gaussian,8,0.34782608695652173,82.2742,0.4405424592518646,81.41073677986634,83.13766322013365
gumbel,8,0.34782608695652173,82.4486,0.4149013138422746,81.63539342486914,83.26180657513086
independence,8,0.34782608695652173,87.8226,0.27957571132641823,87.27463160580021,88.37056839419978
student_t,8,0.34782608695652173,81.9492,0.455278881174966,81.05685339289707,82.84154660710294
clayton,9,0.391304347826087,78.4256,0.48447876822764147,77.47602161427382,79.37517838572619
gaussian,9,0.391304347826087,79.4038,0.4443345988769633,78.53290418620115,80.27469581379886
gumbel,9,0.391304347826087,79.5232,0.4275380335198509,78.68522545430109,80.36117454569892
independence,9,0.391304347826087,83.698,0.27876646381562764,83.15161773092136,84.24438226907863
student_t,9,0.391304347826087,79.04,0.45862087460267686,78.14110308577877,79.93889691422125
clayton,10,0.43478260869565216,75.282,0.47873100158061094,74.343687236902,76.220312763098
gaussian,10,0.43478260869565216,76.105,0.44498485064489635,75.232829692736,76.977170307264
gumbel,10,0.43478260869565216,75.9516,0.43049250428694974,75.10783469159757,76.79536530840242
independence,10,0.43478260869565216,79.4434,0.26497660615299923,78.92404585194012,79.96275414805987
student_t,10,0.43478260869565216,75.4732,0.45695734850822906,74.57756359692388,76.36883640307613
clayton,11,0.4782608695652174,73.0208,0.47981875607330726,72.08035523809632,73.96124476190367
gaussian,11,0.4782608695652174,73.6492,0.4501333934361872,72.76693854886507,74.53146145113492
gumbel,11,0.4782608695652174,73.2892,0.4412402194476968,72.42436916988251,74.15403083011748
independence,11,0.4782608695652174,76.0622,0.26065819528830125,75.55130993723493,76.57309006276508
student_t,11,0.4782608695652174,73.1144,0.4618950226300193,72.20908575564516,74.01971424435484
clayton,12,0.5217391304347826,70.174,0.4748400145395094,69.24331357150257,71.10468642849744
gaussian,12,0.5217391304347826,70.701,0.4496312638759575,69.81972272280312,71.58227727719687
gumbel,12,0.5217391304347826,70.2068,0.44764155676687223,69.32942254873693,71.08417745126307
independence,12,0.5217391304347826,72.0452,0.25025434429669324,71.55470148517847,72.53569851482152
student_t,12,0.5217391304347826,70.1926,0.46058233603304105,69.28985862137525,71.09534137862475
clayton,13,0.5652173913043478,68.284,0.4757989761791703,67.35143400668883,69.21656599331118
gaussian,13,0.5652173913043478,68.3134,0.45590337316709234,67.4198293885925,69.2069706114075
gumbel,13,0.5652173913043478,67.8644,0.46108372576836165,66.96067589749401,68.768124102506
independence,13,0.5652173913043478,68.664,0.25931353513054495,68.15574547114413,69.17225452885587
student_t,13,0.5652173913043478,67.9816,0.465817699871852,67.06859730825117,68.89460269174883
clayton,14,0.6086956521739131,66.0982,0.4749260387686277,65.1673449640135,67.02905503598652
gaussian,14,0.6086956521739131,65.768,0.4592727092744537,64.86782548982207,66.66817451017793
gumbel,14,0.6086956521739131,65.3648,0.4695284821936985,64.44452417490035,66.28507582509965
independence,14,0.6086956521739131,64.7966,0.2669758433045612,64.27332734712306,65.31987265287694
student_t,14,0.6086956521739131,65.4982,0.4684997094423321,64.57994056949303,66.41645943050696
clayton,15,0.6521739130434783,64.3216,0.47847531013886446,63.383788392127826,65.25941160787218
gaussian,15,0.6521739130434783,63.5888,0.46825048277062453,62.67102905376957,64.50657094623043
gumbel,15,0.6521739130434783,62.9372,0.4836362186917002,61.98927301136426,63.88512698863573
independence,15,0.6521739130434783,60.1544,0.2854131115713701,59.59499030132012,60.71380969867989
student_t,15,0.6521739130434783,63.361,0.4757886618764197,62.428454222722216,64.29354577727779
clayton,16,0.6956521739130435,62.1204,0.48050589793632115,61.178608440044805,63.06219155995519
