step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
0,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.9998,0.00019997999899988897,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
3,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.9996,0.0002827861382741226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9996,0.0002827861382741226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
5,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9996,0.0002827861382741226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
6,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9996,0.0002827861382741226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
7,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9996,0.0002827861382741226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9996,0.0002827861382741226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9996,0.0002827861382741226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
10,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9996,0.0002827861382741226,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
11,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.9994,0.0003463062228721987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
12,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9994,0.0003463062228721987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
13,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9994,0.0003463062228721987,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
14,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.9992,0.0003998399679871993,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
15,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9992,0.0003998399679871993,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
16,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9992,0.0003998399679871993,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
17,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
18,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
19,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
20,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
21,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
22,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
23,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
24,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
25,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.999,0.0004469899327725404,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
26,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.9988,0.0004896039215529179,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
27,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9988,0.0004896039215529179,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
28,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9988,0.0004896039215529179,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
29,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9988,0.0004896039215529179,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
30,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9988,0.0004896039215529179,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
31,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9988,0.0004896039215529179,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
32,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
33,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
34,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
35,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
36,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
37,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
38,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
39,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
40,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
41,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
42,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9986,0.000528779727296718,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
43,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.9984,0.0005652326954449903,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
44,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,0.9984,0.0005652326954449903,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
45,1.0,1.0,0.9998,1.0,1.0,1.0,2499.5,0.9982,0.0005994597567810576,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
