step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
0,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.999,0.9922,0.9922,0.9922,0.9914,0.9924,2499.5,0.9922,0.0012441189653726872,0.9922,0.0012441189653726872,0.9914,0.0013058361306075162,0.9924,0.00122818891055082,0.0004469899327725404,0.0012441189653726872
2,0.998,0.982,0.9818,0.982,0.981,0.9838,2499.5,0.9818,0.0018904369865192542,0.982,0.0018802127539190886,0.981,0.0019307511491644912,0.9838,0.0017853604678047508,0.0006318227599572528,0.0018802127539190886
3,0.9974,0.9738,0.9736,0.9738,0.9734,0.9774,2499.5,0.9736,0.0022672908944376758,0.9738,0.0022589183252167398,0.9734,0.002275629143775407,0.9774,0.0021018677408438406,0.0007201722016295889,0.0022589183252167398
4,0.9966,0.9624,0.9624,0.9624,0.9592,0.966,2499.5,0.9622,0.002697078419327104,0.9624,0.0026902133744370524,0.9592,0.0027976904760891597,0.966,0.0025629670306112026,0.0008232180756032946,0.0026902133744370524
5,0.9954,0.952,0.952,0.952,0.9498,0.9584,2499.5,0.9518,0.003029084350096577,0.952,0.0030231109804305907,0.9498,0.003088040155179334,0.9584,0.0028238073588685176,0.000956957679315031,0.0030231109804305907
6,0.9938,0.942,0.942,0.942,0.941,0.9522,2499.5,0.9418,0.0033109744789110054,0.942,0.003305631558416638,0.941,0.003332236486205625,0.9522,0.0030171231330524103,0.0011100954913880142,0.003305631558416638
7,0.9926,0.9334,0.9334,0.9334,0.9312,0.9426,2499.5,0.9332,0.0035309420839203798,0.9334,0.0035260300622654934,0.9312,0.003579568689102082,0.9426,0.0032895361375124004,0.001212042903531056,0.0035260300622654934
8,0.9906,0.9264,0.9264,0.9264,0.923,0.9338,2499.5,0.9262,0.003697392594788927,0.9264,0.003692777816224529,0.923,0.003770172409850774,0.9338,0.003516178607522662,0.0013646713890164155,0.003692777816224529
9,0.9904,0.9172,0.9172,0.9172,0.9138,0.9266,2499.5,0.9172,0.003897285208962772,0.9172,0.003897285208962772,0.9138,0.00396911980166888,0.9266,0.003688155094352731,0.0013789735312905794,0.003897285208962772
10,0.9898,0.9082,0.9082,0.9082,0.9048,0.9202,2499.5,0.9082,0.0040834485425924,0.9082,0.0040834485425924,0.9048,0.004150589355742145,0.9202,0.0038322828705616187,0.0014209827585160903,0.0040834485425924
11,0.9896,0.8978,0.8978,0.8978,0.8956,0.9124,2499.5,0.8978,0.004283810453323068,0.8978,0.004283810453323068,0.8956,0.004324364461975888,0.9124,0.003998155574761943,0.001434701362653564,0.004283810453323068
12,0.988,0.887,0.887,0.887,0.884,0.9034,2499.5,0.887,0.004477298292497385,0.887,0.004477298292497385,0.884,0.004528664262230089,0.9034,0.004177761122898245,0.0015398701243936133,0.004477298292497385
13,0.9866,0.8776,0.8776,0.8776,0.8744,0.896,2499.5,0.8776,0.004635045630843346,0.8776,0.004635045630843346,0.8744,0.004686675580835525,0.896,0.004317036020234253,0.0016260651893451239,0.004635045630843346
14,0.986,0.8684,0.8682,0.8684,0.865,0.889,2499.5,0.8682,0.004783905517461649,0.8684,0.004780825033401662,0.865,0.004832701108076104,0.889,0.004442499296567193,0.0016615655268450904,0.004780825033401662
15,0.9852,0.859,0.859,0.859,0.8526,0.8824,2499.5,0.8588,0.004924683949249942,0.859,0.00492176797502686,0.8526,0.0050134467185759535,0.8824,0.004555661093628455,0.0017076861538350679,0.00492176797502686
16,0.984,0.8478,0.8478,0.8478,0.8422,0.8722,2499.5,0.8476,0.005082799228771485,0.8478,0.005080062204343565,0.8422,0.005155563208806581,0.8722,0.004721592104364798,0.0017744858410255076,0.005080062204343565
17,0.9826,0.838,0.8378,0.838,0.8306,0.864,2499.5,0.8376,0.005215865028928567,0.838,0.005210681337406846,0.8306,0.005304783501708623,0.864,0.004847762370413798,0.0018491749511606505,0.005210681337406846
18,0.9804,0.8288,0.8288,0.8288,0.8212,0.8574,2499.5,0.8284,0.0053320435107001895,0.8288,0.005327111036950516,0.8212,0.005419050839399829,0.8574,0.004945002325580847,0.0019603999591919987,0.005327111036950516
19,0.9794,0.821,0.821,0.821,0.812,0.8488,2499.5,0.8206,0.005426152227868289,0.821,0.005421420478066611,0.812,0.005525504501853201,0.8488,0.005066331216965586,0.0020087628033194937,0.005421420478066611
20,0.9778,0.8126,0.8126,0.8126,0.8044,0.8406,2499.5,0.8122,0.005523244698544506,0.8126,0.005518717967064452,0.8044,0.005609645978134449,0.8406,0.005176710152210572,0.002083610328252382,0.005518717967064452
21,0.9778,0.8048,0.8046,0.8048,0.796,0.8322,2499.5,0.8042,0.005611815392544555,0.8048,0.00560530034877704,0.796,0.005698841987632224,0.8322,0.005284754677371504,0.002083610328252382,0.00560530034877704
22,0.9774,0.7962,0.7962,0.7962,0.7866,0.8244,2499.5,0.7956,0.005702992898470065,0.7962,0.005696763291554248,0.7866,0.005794142559516464,0.8244,0.005380792506685237,0.0021018677408438406,0.005696763291554248
23,0.9762,0.7866,0.7866,0.7866,0.7792,0.8186,2499.5,0.786,0.005800068965107225,0.7866,0.005794142559516464,0.7792,0.005865958745166897,0.8186,0.005449661273877487,0.002155623343722184,0.005794142559516464
24,0.9752,0.777,0.777,0.777,0.7704,0.8098,2499.5,0.7764,0.005892419536998363,0.777,0.005886781803328538,0.7704,0.005947837253994094,0.8098,0.005550206482645489,0.002199316257385465,0.005886781803328538
25,0.974,0.766,0.766,0.766,0.7604,0.8014,2499.5,0.7656,0.005990937155403986,0.766,0.005987386742143854,0.7604,0.0060364201311704615,0.8014,0.0056419507264775,0.0022505110530721692,0.005987386742143854
26,0.9726,0.758,0.758,0.758,0.7516,0.7952,2499.5,0.7576,0.006060399986799551,0.758,0.00605699595509193,0.7516,0.006110604552742715,0.7952,0.005707135183259636,0.00230864635663412,0.00605699595509193
27,0.9716,0.7504,0.7504,0.7504,0.743,0.785,2499.5,0.75,0.006123724356957945,0.7504,0.006120454885055522,0.743,0.006179822003909174,0.785,0.005809905334857014,0.0023491887961592183,0.006120454885055522
28,0.9694,0.743,0.743,0.743,0.7352,0.778,2499.5,0.7426,0.006182964337597298,0.743,0.006179822003909174,0.7352,0.006239887178467252,0.778,0.005877346339973509,0.002435719195638116,0.006179822003909174
29,0.9682,0.733,0.733,0.733,0.7246,0.772,2499.5,0.7326,0.0062593488479234,0.733,0.006256372751043531,0.7246,0.0063175128017282246,0.772,0.005933228463492704,0.0024814818153675857,0.006256372751043531
30,0.9668,0.7248,0.7248,0.7248,0.7162,0.7642,2499.5,0.7246,0.0063175128017282246,0.7248,0.006316089929695428,0.7162,0.006375853825175104,0.7642,0.006003305089698508,0.0025336834845733993,0.006316089929695428
31,0.9648,0.7184,0.7182,0.7184,0.7086,0.7574,2499.5,0.718,0.0063635838958876,0.7184,0.006360840196074729,0.7086,0.006426290376259075,0.7574,0.0060620993063459465,0.00260618341641566,0.006360840196074729
32,0.9634,0.7106,0.7106,0.7106,0.7004,0.7504,2499.5,0.7102,0.006415854736510171,0.7106,0.0064132306991094585,0.7004,0.006478268904576283,0.7504,0.006120454885055522,0.0026555767735089103,0.0064132306991094585
33,0.9622,0.7026,0.7024,0.7026,0.6926,0.7444,2499.5,0.702,0.006468322811981481,0.7026,0.006464568663105064,0.6926,0.006525415542323723,0.7444,0.006168770379905545,0.002697078419327104,0.006464568663105064
34,0.9608,0.6932,0.6932,0.6932,0.6842,0.7368,2499.5,0.6926,0.006525415542323723,0.6932,0.006521867217292913,0.6842,0.006573741096209981,0.7368,0.006227772635541538,0.0027445713690847982,0.006521867217292913
35,0.9594,0.6846,0.6846,0.6846,0.6752,0.7294,2499.5,0.684,0.006574861215265308,0.6846,0.006571496633187907,0.6752,0.0066227631695539285,0.7294,0.006282923523328929,0.0027911159058699076,0.006571496633187907
36,0.9586,0.6764,0.6764,0.6764,0.667,0.7256,2499.5,0.6758,0.006619582464174006,0.6764,0.006616389347672944,0.667,0.006664998124530868,0.7256,0.006310382555756822,0.0028173050952994064,0.006616389347672944
37,0.9572,0.6676,0.6676,0.6676,0.6584,0.718,2499.5,0.667,0.006664998124530868,0.6676,0.006661985289686551,0.6584,0.006706853807859539,0.718,0.0063635838958876,0.0028624520956690245,0.006661985289686551
38,0.9566,0.6606,0.6606,0.6606,0.6504,0.71,2499.5,0.66,0.00669925368977769,0.6606,0.006696381709550316,0.6504,0.0067435871759768925,0.71,0.006417164482853778,0.002881542642405279,0.006696381709550316
39,0.9558,0.6538,0.6538,0.6538,0.6446,0.7046,2499.5,0.6532,0.0067309696181159515,0.6538,0.006728232457339743,0.6446,0.00676891187710403,0.7046,0.006451958462358542,0.002906763148245829,0.006728232457339743
40,0.9556,0.6488,0.6488,0.6488,0.6384,0.6986,2499.5,0.6482,0.006753321553132207,0.6488,0.006750682335882796,0.6384,0.006794783881772842,0.6986,0.0064893457297326975,0.0029130272913242676,0.006750682335882796
41,0.9548,0.6404,0.6404,0.6404,0.6294,0.6926,2499.5,0.6398,0.006789049417996602,0.6404,0.006786572625412625,0.6294,0.0068301631020056906,0.6926,0.006525415542323723,0.0029379230759160463,0.006786572625412625
42,0.9536,0.6306,0.6306,0.6306,0.6208,0.685,2499.5,0.63,0.006827884006044625,0.6306,0.006825593600559588,0.6208,0.006861593983907821,0.685,0.0065692465321374564,0.0029747954551531774,0.006825593600559588
43,0.953,0.6234,0.6234,0.6234,0.6132,0.6798,2499.5,0.6228,0.006854489915376636,0.6234,0.006852334492711225,0.6132,0.0068874633937321215,0.6798,0.006598059714794949,0.002993025225419928,0.006852334492711225
44,0.9522,0.6154,0.6154,0.6154,0.604,0.6732,2499.5,0.6148,0.006882164775708295,0.6154,0.006880157556335465,0.604,0.00691641525647499,0.6732,0.006633276113656056,0.0030171231330524103,0.006880157556335465
45,0.9506,0.6066,0.6066,0.6066,0.597,0.667,2499.5,0.606,0.00691034007846213,0.6066,0.006908493902436334,0.597,0.006936728335461898,0.667,0.006664998124530868,0.003064625262572897,0.006908493902436334
46,0.9482,0.5974,0.5974,0.5974,0.5888,0.6596,2499.5,0.5968,0.006937287077813632,0.5974,0.006935607255316581,0.5888,0.006958657341757819,0.6596,0.006701161690333997,0.0031342227106573,0.006935607255316581
47,0.9466,0.5896,0.5896,0.5896,0.5826,0.6532,2499.5,0.589,0.006958146304871723,0.5896,0.0069566060690540756,0.5826,0.006973911958148023,0.6532,0.0067309696181159515,0.0031795735563122296,0.0069566060690540756
48,0.946,0.5822,0.5822,0.5822,0.5732,0.6454,2499.5,0.5816,0.006976266049972578,0.5822,0.006974857131153297,0.5732,0.00699488041355962,0.6454,0.00676548357473433,0.0031963729444481302,0.006974857131153297
49,0.9444,0.577,0.577,0.577,0.5672,0.6398,2499.5,0.5764,0.006988033199692171,0.577,0.0069867159667471816,0.5672,0.0070069131577321555,0.6398,0.006789049417996602,0.003240636974423392,0.0069867159667471816
50,0.9438,0.5698,0.5698,0.5698,0.5592,0.6332,2499.5,0.5692,0.0070030187776415394,0.5698,0.007001827761377739,0.5592,0.007021329788579938,0.6332,0.006815537542996884,0.0032570403743275894,0.007001827761377739
51,0.9426,0.5632,0.5632,0.5632,0.55,0.6274,2499.5,0.5626,0.0070154292812343285,0.5632,0.007014353284515972,0.55,0.007035623639735144,0.6274,0.0068376785534273255,0.0032895361375124004,0.007014353284515972
52,0.942,0.5558,0.5558,0.5558,0.5428,0.6208,2499.5,0.5552,0.007027844050631744,0.5558,0.0070268963276826565,0.5428,0.007045114051596326,0.6208,0.006861593983907821,0.003305631558416638,0.0070268963276826565
53,0.941,0.5492,0.5492,0.5492,0.5348,0.6146,2499.5,0.5486,0.007037585381364833,0.5492,0.007036751523252757,0.5348,0.007053920328441483,0.6146,0.006882831394128437,0.003332236486205625,0.007036751523252757
54,0.94,0.5404,0.5404,0.5404,0.5252,0.607,2499.5,0.5398,0.0070486305052825686,0.5404,0.007047947786412723,0.5252,0.007062081279622884,0.607,0.006907257053273753,0.0033585711247493344,0.007047947786412723
55,0.9378,0.535,0.535,0.535,0.518,0.5994,2499.5,0.5344,0.007054312723433801,0.535,0.0070537224215303515,0.518,0.0070664842743757665,0.5994,0.006929929869775018,0.003415586626042444,0.0070537224215303515
56,0.9366,0.5292,0.5292,0.5292,0.5118,0.5934,2499.5,0.5286,0.007059490633183105,0.5292,0.007058999362515909,0.5118,0.007069098386640265,0.5934,0.006946602622865367,0.0034461700480388374,0.007058999362515909
57,0.9362,0.5198,0.5198,0.52,0.504,0.587,2499.5,0.5194,0.00706574327300391,0.52,0.007065408693062277,0.504,0.007070841534074993,0.587,0.006963203285844813,0.0034562858678066537,0.007065521353728966
58,0.9342,0.5126,0.5126,0.513,0.4964,0.5788,2499.5,0.512,0.007069031050999847,0.513,0.007068677386894949,0.4964,0.0070708845274123945,0.5788,0.006982700910106346,0.0035062903473614382,0.007068822249851809
59,0.932,0.504,0.504,0.505,0.4902,0.5732,2499.5,0.503,0.007070940531499328,0.505,0.007070714249635605,0.4902,0.007069709470692555,0.5732,0.00699488041355962,0.0035602247120090596,0.007070841534074993
60,0.9314,0.4974,0.4974,0.498,0.484,0.5664,2499.5,0.4956,0.007070794014818986,0.498,0.0070710112430967045,0.4838,0.0070673553752446895,0.5664,0.007008438342455472,0.00357474586509307,0.007070972210382389
61,0.9302,0.4916,0.4916,0.4922,0.4778,0.5586,2499.5,0.4898,0.007069596310964298,0.4922,0.007070207351980563,0.4776,0.007063968289849552,0.5586,0.0070223363633480276,0.0036035526914421547,0.007070069872356284
62,0.9282,0.4862,0.4862,0.487,0.4716,0.553,2499.5,0.484,0.007067446497851964,0.487,0.007068677386894949,0.471,0.007059164256482491,0.553,0.0070312303333058285,0.0036508837286333834,0.007068374070463447
63,0.927,0.4786,0.4786,0.4786,0.4648,0.5466,2499.5,0.4758,0.007062780755481512,0.4786,0.007064588310722713,0.4638,0.007052511042174979,0.5466,0.007040290334922275,0.003678885700861063,0.007064588310722713
64,0.9256,0.4726,0.4726,0.4732,0.458,0.541,2499.5,0.4704,0.007058666162951752,0.4732,0.007060903058391327,0.457,0.007044870474323854,0.541,0.007047254784666153,0.0037111895667023,0.007060442479051862
65,0.9248,0.466,0.466,0.4666,0.4506,0.5354,2499.5,0.4634,0.007052098127507869,0.4666,0.007055273772150873,0.4494,0.007034765667739047,0.5354,0.007053323188398501,0.003729476102618169,0.00705470056061914
66,0.9232,0.4606,0.4606,0.4624,0.4432,0.5268,2499.5,0.4576,0.0070455977744972075,0.4624,0.007051045879867752,0.4416,0.007022669577874214,0.5268,0.007060903058391328,0.003765680814939046,0.007049079939963797
67,0.9222,0.454,0.454,0.4568,0.4364,0.5202,2499.5,0.4504,0.007036189878051899,0.4568,0.007044625753012008,0.434,0.007009193962218481,0.5202,0.007065294898303962,0.0037880644133910916,0.007041079462696043
68,0.9204,0.4436,0.4436,0.4464,0.4282,0.5122,2499.5,0.4384,0.007017199441372605,0.4464,0.00703032061857779,0.4248,0.0069906360225661865,0.5122,0.007068962583010325,0.003827893415444061,0.007025938229161996
