step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
0,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.9934,0.9934,0.9934,0.994,0.9968,2499.5,0.9934,0.0011451148414023853,0.9934,0.0011451148414023853,0.994,0.0010921538353180842,0.9968,0.0007987189743583135,0.0,0.0011451148414023853
2,1.0,0.983,0.9828,0.983,0.9876,0.9936,2499.5,0.9828,0.0018387038913321523,0.983,0.0018281684823888641,0.9876,0.0015650073482255582,0.9936,0.0011277446519491869,0.0,0.0018281684823888641
3,0.9998,0.9726,0.9724,0.9726,0.9778,0.99,2499.5,0.9722,0.002324958494253179,0.9726,0.00230864635663412,0.9778,0.002083610328252382,0.99,0.0014071247279470295,0.00019997999899988897,0.00230864635663412
4,0.9998,0.9648,0.9648,0.9648,0.9688,0.9842,2499.5,0.9644,0.0026204060754012907,0.9648,0.00260618341641566,0.9688,0.002458721619053284,0.9842,0.0017635396224638695,0.00019997999899988897,0.00260618341641566
5,0.9998,0.9514,0.9514,0.9514,0.9604,0.9772,2499.5,0.951,0.0030528347482299146,0.9514,0.003040987997345599,0.9604,0.0027579644667761753,0.9772,0.002110931547919072,0.00019997999899988897,0.003040987997345599
6,0.9996,0.9402,0.9402,0.9402,0.9512,0.9712,2499.5,0.9398,0.0033638061775316374,0.9402,0.0033533255135760375,0.9512,0.0030469184432800286,0.9712,0.002365187518992946,0.0002827861382741226,0.0033533255135760375
7,0.9996,0.9306,0.9306,0.9306,0.94,0.961,2499.5,0.9302,0.0036035526914421547,0.9306,0.0035939849749268573,0.94,0.0033585711247493344,0.961,0.0027378458685616337,0.0002827861382741226,0.0035939849749268573
8,0.9992,0.9192,0.9192,0.9192,0.9268,0.953,2499.5,0.9188,0.0038628114113945567,0.9192,0.0038541240249893357,0.9268,0.0036835243992676373,0.953,0.002993025225419928,0.0003998399679871993,0.0038541240249893357
9,0.999,0.9076,0.9076,0.9076,0.9152,0.944,2499.5,0.9072,0.004103368372447202,0.9076,0.004095417927391539,0.9152,0.003939770551694604,0.944,0.0032515842292642535,0.0004469899327725404,0.004095417927391539
10,0.9984,0.8968,0.8968,0.8968,0.9056,0.9368,2499.5,0.8964,0.004309687691701106,0.8968,0.0043023193744769804,0.9056,0.004134939902828094,0.9368,0.0034410974993452316,0.0005652326954449903,0.0043023193744769804
11,0.9978,0.8876,0.8876,0.8876,0.8954,0.9302,2499.5,0.8872,0.0044738386202454825,0.8876,0.00446690586424205,0.8954,0.004328021256879407,0.9302,0.0036035526914421547,0.0006625948988635484,0.00446690586424205
12,0.9976,0.8744,0.8744,0.8744,0.8842,0.9226,2499.5,0.874,0.0046930587040862805,0.8744,0.004686675580835525,0.8842,0.004525270378662473,0.9226,0.0037791332339572265,0.0006919884392097831,0.004686675580835525
13,0.997,0.865,0.865,0.865,0.8756,0.9152,2499.5,0.8646,0.004838736198636995,0.865,0.004832701108076104,0.8756,0.004667432699032734,0.9152,0.003939770551694604,0.0007734339015067807,0.004832701108076104
14,0.9968,0.8546,0.8544,0.8546,0.8626,0.9064,2499.5,0.854,0.00499367600070329,0.8546,0.0049851547618905475,0.8626,0.004868700853410486,0.9064,0.004119199922315012,0.0007987189743583135,0.0049851547618905475
15,0.9958,0.8438,0.8438,0.8438,0.8516,0.8976,2499.5,0.8432,0.0051422516468955515,0.8438,0.005134229445593564,0.8516,0.005027473321659698,0.8976,0.0042875223614577225,0.0009145884320283065,0.005134229445593564
