step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
0,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,1.0,0.9954,0.9954,0.9954,0.9982,0.9994,2499.5,0.9954,0.000956957679315031,0.9954,0.000956957679315031,0.9982,0.0005994597567810576,0.9994,0.0003463062228721987,0.0,0.000956957679315031
2,1.0,0.9856,0.9856,0.9856,0.9912,0.9962,2499.5,0.9856,0.0016847931623792855,0.9856,0.0016847931623792855,0.9912,0.0013207997577225725,0.9962,0.0008701218305501851,0.0,0.0016847931623792855
3,1.0,0.9764,0.9762,0.9764,0.9834,0.9914,2499.5,0.9762,0.002155623343722184,0.9764,0.002146766871367264,0.9834,0.0018069001079196354,0.9914,0.0013058361306075162,0.0,0.002146766871367264
4,1.0,0.9632,0.9632,0.9632,0.9722,0.986,2499.5,0.963,0.0026694943341389592,0.9632,0.0026625461498347796,0.9722,0.002324958494253179,0.986,0.0016615655268450904,0.0,0.0026625461498347796
5,1.0,0.951,0.951,0.951,0.9632,0.9802,2499.5,0.9508,0.0030587369942510594,0.951,0.0030528347482299146,0.9632,0.0026625461498347796,0.9802,0.0019701756266891557,0.0,0.0030528347482299146
6,1.0,0.937,0.937,0.937,0.9498,0.975,2499.5,0.9368,0.0034410974993452316,0.937,0.003436015133843271,0.9498,0.003088040155179334,0.975,0.0022079402165819627,0.0,0.003436015133843271
7,1.0,0.9218,0.9218,0.9218,0.935,0.9646,2499.5,0.9216,0.0038014060556588796,0.9218,0.0037969661573419387,0.935,0.003486402156952062,0.9646,0.00261330595223751,0.0,0.0037969661573419387
8,1.0,0.907,0.907,0.907,0.9204,0.9552,2499.5,0.9068,0.004111295659521459,0.907,0.004107334902342393,0.9204,0.003827893415444061,0.9552,0.0029255071355236842,0.0,0.004107334902342393
9,1.0,0.8938,0.8938,0.8938,0.9054,0.9476,2499.5,0.8936,0.0043607118684912,0.8938,0.004357099034908433,0.9054,0.004138860712804914,0.9476,0.003151324800778238,0.0,0.004357099034908433
10,1.0,0.8808,0.8808,0.8808,0.892,0.9384,2499.5,0.8806,0.0045857091054710385,0.8808,0.004582387150819974,0.892,0.0043894418779612514,0.9384,0.003400159996235471,0.0,0.004582387150819974
11,1.0,0.8702,0.8702,0.8702,0.8802,0.9312,2499.5,0.87,0.004756048780237646,0.8702,0.004752935093181897,0.8802,0.004592340579704428,0.9312,0.003579568689102082,0.0,0.004752935093181897
12,1.0,0.8592,0.8592,0.8592,0.87,0.9226,2499.5,0.859,0.00492176797502686,0.8592,0.004918848645770675,0.87,0.004756048780237646,0.9226,0.0037791332339572265,0.0,0.004918848645770675
13,1.0,0.845,0.845,0.845,0.8558,0.9124,2499.5,0.8448,0.005120799937509764,0.845,0.005118105118107678,0.8558,0.0049680249596796506,0.9124,0.003998155574761943,0.0,0.005118105118107678
14,0.9998,0.8336,0.8336,0.8336,0.8442,0.9032,2499.5,0.8334,0.005269619341090967,0.8336,0.005267087240591331,0.8442,0.005128866541449485,0.9032,0.004181620738421886,0.00019997999899988897,0.005267087240591331
15,0.9998,0.8202,0.8202,0.8202,0.8318,0.896,2499.5,0.82,0.005433231082882451,0.8202,0.005430873962816666,0.8318,0.005289778067178245,0.896,0.004317036020234253,0.00019997999899988897,0.005430873962816666
16,0.9996,0.808,0.808,0.808,0.8186,0.8858,2499.5,0.8078,0.0055724170698180885,0.808,0.005570206459369347,0.8186,0.005449661273877487,0.8858,0.0044979630945573565,0.0002827861382741226,0.005570206459369347
17,0.9996,0.7968,0.7966,0.7968,0.8058,0.8778,2499.5,0.7964,0.005694682431883274,0.7968,0.0056905142122658835,0.8058,0.005594396482195377,0.8778,0.004631784969102084,0.0002827861382741226,0.0056905142122658835
18,0.9996,0.7828,0.7828,0.7828,0.791,0.8666,2499.5,0.7824,0.005835241897299545,0.7828,0.005831366220706773,0.791,0.00575011304236708,0.8666,0.0048084184510086055,0.0002827861382741226,0.005831366220706773
19,0.9996,0.7714,0.7714,0.7714,0.7784,0.8578,2499.5,0.771,0.0059423732632678,0.7714,0.005938721074440186,0.7784,0.005873558376316694,0.8578,0.004939213702604899,0.0002827861382741226,0.005938721074440186
20,0.9996,0.7614,0.7614,0.7614,0.7672,0.8492,2499.5,0.761,0.006031235362676538,0.7614,0.006027769736809793,0.7672,0.0059766907231343334,0.8492,0.005060817325294405,0.0002827861382741226,0.006027769736809793
21,0.9994,0.7502,0.7502,0.7502,0.7552,0.8382,2499.5,0.7498,0.006125356479422238,0.7502,0.006122090492634032,0.7552,0.006080673646891436,0.8382,0.005208085252758446,0.0003463062228721987,0.006122090492634032
22,0.9994,0.739,0.739,0.739,0.7424,0.8304,2499.5,0.7386,0.006214017058232138,0.739,0.00621094195754557,0.7424,0.006184532965390354,0.8304,0.005307275007006892,0.0003463062228721987,0.00621094195754557
23,0.9994,0.7276,0.7276,0.7276,0.7318,0.8216,2499.5,0.7274,0.006297447736980434,0.7276,0.006296002541295548,0.7318,0.006265281478114132,0.8216,0.0054143040180617856,0.0003463062228721987,0.006296002541295548
24,0.9994,0.7166,0.7166,0.7166,0.7206,0.8132,2499.5,0.7164,0.006374496686013728,0.7166,0.00637313800258554,0.7206,0.006345638502152482,0.8132,0.005511910013779252,0.0003463062228721987,0.00637313800258554
25,0.9992,0.707,0.707,0.707,0.7108,0.8026,2499.5,0.7068,0.006437915190494513,0.707,0.006436629552801684,0.7108,0.006411916406192457,0.8026,0.005629089446793327,0.0003998399679871993,0.006436629552801684
26,0.9992,0.6962,0.6962,0.6962,0.6992,0.7904,2499.5,0.696,0.0065051364320819595,0.6962,0.006503930503933756,0.6992,0.006485666658100769,0.7904,0.00575617650875996,0.0003998399679871993,0.006503930503933756
27,0.9988,0.6882,0.6882,0.6882,0.6918,0.7804,2499.5,0.688,0.006552190473421846,0.6882,0.00655104205451316,0.6918,0.006530126491883599,0.7804,0.0058544998078401194,0.0004896039215529179,0.00655104205451316
28,0.9986,0.6788,0.6788,0.6788,0.681,0.7712,2499.5,0.6786,0.006604574778136743,0.6788,0.006603492409324024,0.681,0.006591494519454597,0.7712,0.005940548122858698,0.000528779727296718,0.006603492409324024
29,0.9986,0.6698,0.6698,0.6698,0.673,0.7626,2499.5,0.6696,0.006651854478263938,0.6698,0.0066508339326734065,0.673,0.006634319859638966,0.7626,0.006017328975550531,0.000528779727296718,0.0066508339326734065
30,0.9986,0.661,0.661,0.661,0.6634,0.7536,2499.5,0.6608,0.006695421719354203,0.661,0.006694460396477075,0.6634,0.0066828203626911895,0.7536,0.006094046931227228,0.000528779727296718,0.006694460396477075
31,0.9984,0.6508,0.6508,0.6508,0.6524,0.7464,2499.5,0.6506,0.006742694416922659,0.6508,0.006741800353021439,0.6524,0.00673460080479905,0.7464,0.006152837394243407,0.0005652326954449903,0.006741800353021439
32,0.9984,0.6398,0.6398,0.6398,0.6424,0.7364,2499.5,0.6396,0.006789872458301408,0.6398,0.006789049417996602,0.6424,0.0067782333981650416,0.7364,0.006230811183144614,0.0005652326954449903,0.006789049417996602
33,0.9972,0.6294,0.6294,0.6294,0.6298,0.7256,2499.5,0.6292,0.006830920289390002,0.6294,0.0068301631020056906,0.6298,0.00682864496075173,0.7256,0.006310382555756822,0.000747283078893136,0.0068301631020056906
34,0.9972,0.62,0.62,0.62,0.621,0.7164,2499.5,0.6198,0.006865099562278758,0.62,0.006864400920692206,0.621,0.006860889155204303,0.7164,0.006374496686013728,0.000747283078893136,0.006864400920692206
35,0.997,0.6108,0.6108,0.6108,0.6118,0.7092,2499.5,0.6106,0.006895906611896655,0.6108,0.006895264461933276,0.6118,0.00689203540327529,0.7092,0.006422388340796592,0.0007734339015067807,0.006895264461933276
36,0.9966,0.6024,0.6024,0.6024,0.6026,0.7012,2499.5,0.6022,0.006921779539973806,0.6024,0.006921188337272725,0.6026,0.0069205959280975215,0.7012,0.00647330765528721,0.0008232180756032946,0.006921188337272725
37,0.9964,0.5952,0.5952,0.5952,0.594,0.6926,2499.5,0.595,0.00694226187924368,0.5952,0.006941713909403066,0.594,0.006944983801277006,0.6926,0.006525415542323723,0.0008469994096810277,0.006941713909403066
38,0.996,0.585,0.585,0.585,0.5834,0.6852,2499.5,0.5848,0.006968629133480989,0.585,0.006968141789602161,0.5834,0.00697200745840106,0.6852,0.006568119365541403,0.0008926365441768563,0.006968141789602161
39,0.9958,0.5772,0.5772,0.5772,0.5742,0.6762,2499.5,0.577,0.0069867159667471816,0.5772,0.0069862745437035325,0.5742,0.00699277284058334,0.6762,0.006617455099961011,0.0009145884320283065,0.0069862745437035325
40,0.9956,0.5688,0.5688,0.5688,0.563,0.6668,2499.5,0.5686,0.007004199311841433,0.5688,0.00700380696478708,0.563,0.007014713108887633,0.6668,0.0066659996999699905,0.000936017093861,0.00700380696478708
41,0.9956,0.561,0.561,0.561,0.5552,0.6588,2499.5,0.5608,0.007018594731140985,0.561,0.007018247644533499,0.5552,0.007027844050631744,0.6588,0.006704961744857311,0.000936017093861,0.007018247644533499
42,0.9952,0.5544,0.5544,0.5544,0.5478,0.6508,2499.5,0.5542,0.007029400543431851,0.5544,0.0070290915486995904,0.5478,0.007038681126461122,0.6508,0.006741800353021439,0.0009774415583552836,0.0070290915486995904
43,0.9946,0.5462,0.5462,0.5462,0.5396,0.6436,2499.5,0.546,0.0070410794626960425,0.5462,0.007040817566163747,0.5396,0.007048855793673183,0.6436,0.006773168239457809,0.001036420763975709,0.007040817566163747
