step,A_t,B_t,M_t,B1_t,B2_t,B3_t,run,R_mis,R_mis_se,R_b1,R_b1_se,R_b2,R_b2_se,R_b3,R_b3_se,A_t_se,B_t_se
0,1.0,1.0,1.0,1.0,1.0,1.0,2499.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,0.9998,0.9904,0.9904,0.9904,0.9908,0.994,2499.5,0.9904,0.0013789735312905794,0.9904,0.0013789735312905794,0.9908,0.0013502118352317896,0.994,0.0010921538353180842,0.00019997999899988897,0.0013789735312905794
2,0.9988,0.9782,0.9782,0.9782,0.9796,0.9872,2499.5,0.9782,0.002065176021553613,0.9782,0.002065176021553613,0.9796,0.0019991918367180265,0.9872,0.0015897270205919023,0.0004896039215529179,0.002065176021553613
3,0.9986,0.9684,0.9684,0.9684,0.9708,0.9798,2499.5,0.9684,0.0024739215832358134,0.9684,0.0024739215832358134,0.9708,0.0023810653077981714,0.9798,0.001989570807988497,0.000528779727296718,0.0024739215832358134
4,0.9978,0.9566,0.9566,0.9566,0.9602,0.9696,2499.5,0.9566,0.002881542642405279,0.9566,0.002881542642405279,0.9602,0.0027646323444537775,0.9696,0.0024279967051048477,0.0006625948988635484,0.002881542642405279
5,0.9976,0.9486,0.9486,0.9486,0.9512,0.9636,2499.5,0.9486,0.0031227564746550444,0.9486,0.0031227564746550444,0.9512,0.0030469184432800286,0.9636,0.0026485860378700175,0.0006919884392097831,0.0031227564746550444
6,0.9974,0.9372,0.9372,0.9372,0.9416,0.9572,2499.5,0.9372,0.00343092290790685,0.9372,0.00343092290790685,0.9416,0.0033163063790910513,0.9572,0.0028624520956690245,0.0007201722016295889,0.00343092290790685
7,0.997,0.9258,0.9258,0.9258,0.9298,0.949,2499.5,0.9258,0.0037065984406191087,0.9258,0.0037065984406191087,0.9298,0.003613086215411972,0.949,0.0031112376958374634,0.0007734339015067807,0.0037065984406191087
8,0.9966,0.9142,0.9142,0.9142,0.9194,0.943,2499.5,0.9142,0.003960766592466665,0.9142,0.003960766592466665,0.9194,0.0038497698632515686,0.943,0.00327874976172321,0.0008232180756032946,0.003960766592466665
9,0.9958,0.9006,0.9006,0.9006,0.9076,0.9334,2499.5,0.9006,0.004231303345306267,0.9006,0.004231303345306267,0.9076,0.004095417927391539,0.9334,0.0035260300622654934,0.0009145884320283065,0.004231303345306267
10,0.9956,0.889,0.889,0.889,0.896,0.9264,2499.5,0.889,0.004442499296567193,0.889,0.004442499296567193,0.896,0.004317036020234253,0.9264,0.003692777816224529,0.000936017093861,0.004442499296567193
11,0.9954,0.8792,0.8792,0.8792,0.8858,0.9176,2499.5,0.8792,0.004608847144351828,0.8792,0.004608847144351828,0.8858,0.0044979630945573565,0.9176,0.003888707754511774,0.000956957679315031,0.004608847144351828
12,0.9942,0.8704,0.8704,0.8704,0.8768,0.9122,2499.5,0.8704,0.004749817680711545,0.8704,0.004749817680711545,0.8768,0.004648048192521243,0.9122,0.0040022783511395104,0.0010739050237334796,0.004749817680711545
13,0.9928,0.8596,0.8596,0.8596,0.8668,0.904,2499.5,0.8596,0.004912999898229187,0.8596,0.004912999898229187,0.8668,0.004805366999512108,0.904,0.004166149301213291,0.0011956721958797892,0.004912999898229187
14,0.9924,0.8498,0.8498,0.8498,0.8566,0.8958,2499.5,0.8498,0.005052523329980773,0.8498,0.005052523329980773,0.8566,0.004956539922163444,0.8958,0.004320702720623116,0.00122818891055082,0.005052523329980773
15,0.9922,0.8386,0.8386,0.8386,0.8448,0.8852,2499.5,0.8386,0.0052028845845357745,0.8386,0.0052028845845357745,0.8448,0.005120799937509764,0.8852,0.004508236018666281,0.0012441189653726872,0.0052028845845357745
16,0.9916,0.832,0.832,0.832,0.8354,0.8782,2499.5,0.832,0.005287267725394658,0.832,0.005287267725394658,0.8354,0.005244174672910886,0.8782,0.004625251560726185,0.0012906928372002353,0.005287267725394658
17,0.9912,0.8228,0.8228,0.8228,0.8262,0.8688,2499.5,0.8228,0.00540000296296215,0.8228,0.00540000296296215,0.8262,0.005358984232109663,0.8688,0.004774653076402515,0.0013207997577225725,0.00540000296296215
18,0.99,0.8132,0.8132,0.8132,0.8166,0.8618,2499.5,0.8132,0.005511910013779252,0.8132,0.005511910013779252,0.8166,0.005472923167741349,0.8618,0.004880589308679844,0.0014071247279470295,0.005511910013779252
19,0.9894,0.8034,0.8034,0.8034,0.8076,0.8532,2499.5,0.8034,0.005620470442943367,0.8034,0.005620470442943367,0.8076,0.005574625368578592,0.8532,0.005004992707287395,0.0014482845024372838,0.005620470442943367
20,0.9886,0.7922,0.7922,0.7922,0.7966,0.8466,2499.5,0.7922,0.005737929243202638,0.7922,0.005737929243202638,0.7966,0.005692599406246676,0.8466,0.005096438756622117,0.001501335405563991,0.005737929243202638
21,0.988,0.7828,0.7828,0.7828,0.786,0.8376,2499.5,0.7828,0.005831366220706773,0.7828,0.005831366220706773,0.786,0.005800068965107225,0.8376,0.005215865028928567,0.0015398701243936133,0.005831366220706773
22,0.9872,0.7734,0.7734,0.7734,0.778,0.8288,2499.5,0.7734,0.005920345260202313,0.7734,0.005920345260202313,0.778,0.005877346339973509,0.8288,0.005327111036950516,0.0015897270205919023,0.005920345260202313
23,0.9862,0.7646,0.7646,0.7646,0.7688,0.8212,2499.5,0.7646,0.005999780662657595,0.7646,0.005999780662657595,0.7688,0.0059623243789649685,0.8212,0.005419050839399829,0.0016498218085599446,0.005999780662657595
24,0.986,0.7544,0.7544,0.7544,0.7572,0.8118,2499.5,0.7544,0.006087374475091868,0.7544,0.006087374475091868,0.7572,0.006063796830369566,0.8118,0.005527761934092315,0.0016615655268450904,0.006087374475091868
25,0.9852,0.7442,0.7442,0.7442,0.7456,0.8038,2499.5,0.7442,0.006170354284804075,0.7442,0.006170354284804075,0.7456,0.006159231120846172,0.8038,0.005616147433962182,0.0017076861538350679,0.006170354284804075
