Copula,rho,df,MTTF
Gaussian,0.0,,42.6512
Gaussian,0.2,,46.953
Gaussian,0.4,,52.0564
Gaussian,0.6,,55.876
Gaussian,0.8,,59.9392
Student-t,0.0,3.0,41.7454
Student-t,0.0,5.0,41.919
Student-t,0.0,10.0,42.2392
Student-t,0.0,30.0,41.7346
Student-t,0.2,3.0,47.3912
Student-t,0.2,5.0,47.8412
Student-t,0.2,10.0,47.0588
Student-t,0.2,30.0,47.7678
Student-t,0.4,3.0,51.0298
Student-t,0.4,5.0,51.2854
Student-t,0.4,10.0,52.074
Student-t,0.4,30.0,51.6174
Student-t,0.6,3.0,56.4422
Student-t,0.6,5.0,56.1564
Student-t,0.6,10.0,56.2364
Student-t,0.6,30.0,55.578
Student-t,0.8,3.0,60.8944
Student-t,0.8,5.0,61.2966
Student-t,0.8,10.0,60.8554
Student-t,0.8,30.0,60.6268
Clayton,0.0,,42.4012
Clayton,0.2,,47.757
Clayton,0.4,,52.7454
Clayton,0.6,,57.554
Clayton,0.8,,62.3054
Gumbel,0.0,,42.25
Gumbel,0.2,,46.0078
Gumbel,0.4,,49.8918
Gumbel,0.6,,54.117
Gumbel,0.8,,60.6806
